Entity Type,Medical Device,Regulatory Notes,Context_Multiplier,Estimate Repair Price (USD),Adjusted Estimate Repair Price (USD),Final Estimated Repair Price (USD),Estimate Purchase Price (USD),Annual Maintenance Cost (USD),"Total Cost of Ownership (5 Years, USD)"
Chiropractic clinic,Examination table,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2575,18750,1220.85,31250
Chiropractic clinic,Autoclave,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,1525,7250,680.33,14500
Chiropractic clinic,ECG/EKG,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,500,3600,310.93,6500
Chiropractic clinic,Vital signs monitor,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2500,17500,1328.75,30500
Chiropractic clinic,Doppler/ABI,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2500,17250,1187.97,29500
Chiropractic clinic,Spirometer,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2600,18750,1436.22,32500
Chiropractic clinic,Thermometer,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2625,17750,1259.56,30500
Chiropractic clinic,Otoscope/Ophthalmoscope,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,2525,17250,1315.74,30250
Chiropractic clinic,Centrifuge,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,690,4000,268.35,7000
Chiropractic clinic,Refrigerator,CMS Conditions of Participation; The Joint Commission (TJC); HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.125,2200,2475,810,5750,388.45,9750
